id_node	sensor	timestamp	valor_v
AQM60	PM10	2017-05-11 16:09:16	26,32
AQM60	PM10	2017-05-11 16:11:16	18362
AQM60	PM10	2017-05-11 16:13:16	19404
AQM60	PM10	2017-05-11 16:15:16	20836
AQM60	PM10	2017-05-11 16:17:16	23293
AQM60	PM10	2017-05-11 16:19:16	22825
AQM60	PM10	2017-05-11 16:21:16	37288
AQM60	PM10	2017-05-11 16:23:16	25987
AQM60	PM10	2017-05-11 16:25:16	24179
AQM60	PM10	2017-05-11 16:27:16	25165
AQM60	PM10	2017-05-11 16:29:16	16917
AQM60	PM10	2017-05-11 16:31:16	17898
AQM60	PM10	2017-05-11 16:33:16	19652
AQM60	PM10	2017-05-11 16:35:16	25241
AQM60	PM10	2017-05-11 16:37:16	29576
AQM60	PM10	2017-05-11 16:39:16	21559
AQM60	PM10	2017-05-11 16:41:16	19817
AQM60	PM10	2017-05-11 16:43:16	18656
AQM60	PM10	2017-05-11 16:45:16	16096
AQM60	PM10	2017-05-11 16:47:16	16572
AQM60	PM10	2017-05-11 16:49:16	16572
AQM60	PM10	2017-05-11 16:51:16	21957
AQM60	PM10	2017-05-11 16:53:16	18278
AQM60	PM10	2017-05-11 16:55:16	17856
AQM60	PM10	2017-05-11 16:57:16	19734
AQM60	PM10	2017-05-11 16:59:16	17,94
AQM60	PM10	2017-05-11 17:01:16	21997
AQM60	PM10	2017-05-11 17:03:16	37789
AQM60	PM10	2017-05-11 17:06:59	24712
AQM60	PM10	2017-05-11 17:08:59	21399
AQM60	PM10	2017-05-11 17:10:59	17345
AQM60	PM10	2017-05-11 17:12:59	23872
AQM60	PM10	2017-05-11 17:14:59	21359
AQM60	PM10	2017-05-11 17:16:59	18194
AQM60	PM10	2017-05-11 17:18:59	20349
AQM60	PM10	2017-05-11 17:20:59	32546
AQM60	PM10	2017-05-11 17:22:59	32873
AQM60	PM10	2017-05-11 17:24:59	31,15
AQM60	PM10	2017-05-11 17:26:59	34,38
AQM60	PM10	2017-05-11 17:28:59	32677
AQM60	PM10	2017-05-11 17:30:59	38,89
AQM60	PM10	2017-05-11 17:32:59	44246
AQM60	PM10	2017-05-11 17:34:59	52901
AQM60	PM10	2017-05-11 17:36:59	37584
AQM60	PM10	2017-05-11 17:38:59	46125
AQM60	PM10	2017-05-11 17:40:59	64755
AQM60	PM10	2017-05-11 17:42:59	62731
AQM60	PM10	2017-05-11 17:44:59	31,15
AQM60	PM10	2017-05-11 17:46:59	25466
AQM60	PM10	2017-05-11 17:48:59	33165
AQM60	PM10	2017-05-11 17:50:59	37819
AQM60	PM10	2017-05-11 17:52:59	34,38
AQM60	PM10	2017-05-11 17:54:59	27125
AQM60	PM10	2017-05-11 17:56:59	35101
AQM60	PM10	2017-05-11 17:58:59	24446
AQM60	PM10	2017-05-11 18:00:59	20389
AQM60	PM10	2017-05-11 18:02:59	24103
AQM60	PM10	2017-05-11 18:04:59	26504
AQM60	PM10	2017-05-11 18:07:20	30982
AQM60	PM10	2017-05-11 18:09:20	32906
AQM60	PM10	2017-05-11 18:11:20	25278
AQM60	PM10	2017-05-11 18:13:20	24977
AQM60	PM10	2017-05-11 18:15:20	27415
AQM60	PM10	2017-05-11 18:17:20	25801
AQM60	PM10	2017-05-11 18:19:20	27847
AQM60	PM10	2017-05-11 18:21:20	30608
AQM60	PM10	2017-05-11 18:23:20	34977
AQM60	PM10	2017-05-11 18:25:20	28453
AQM60	PM10	2017-05-11 18:27:20	29576
AQM60	PM10	2017-05-11 18:29:20	28276
AQM60	PM10	2017-05-11 18:31:20	19693
AQM60	PM10	2017-05-11 18:33:20	19073
AQM60	PM10	2017-05-11 18:35:20	27,99
AQM60	PM10	2017-05-11 18:37:20	28453
AQM60	PM10	2017-05-11 18:39:20	24217
AQM60	PM10	2017-05-11 18:41:20	30676
AQM60	PM10	2017-05-11 18:43:20	24674
AQM60	PM10	2017-05-11 18:45:20	26209
AQM60	PM10	2017-05-11 18:47:20	23834
AQM60	PM10	2017-05-11 18:49:20	29507
AQM60	PM10	2017-05-11 18:51:20	29854
AQM60	PM10	2017-05-11 18:53:20	24141
AQM60	PM10	2017-05-11 18:55:20	18614
AQM60	PM10	2017-05-11 18:57:20	21158
AQM60	PM10	2017-05-11 18:59:20	22707
AQM60	PM10	2017-05-11 19:01:20	23757
AQM60	PM10	2017-05-11 19:03:20	21957
AQM60	PM10	2017-05-11 19:07:00	27089
AQM60	PM10	2017-05-11 19:09:00	26393
AQM60	PM10	2017-05-11 19:11:00	31352
AQM60	PM10	2017-05-11 19:13:00	25801
AQM60	PM10	2017-05-11 19:15:00	28595
AQM60	PM10	2017-05-11 19:17:00	30,71
AQM60	PM10	2017-05-11 19:19:00	20185
AQM60	PM10	2017-05-11 19:21:00	22903
AQM60	PM10	2017-05-11 19:23:00	23641
AQM60	PM10	2017-05-11 19:25:00	19322
AQM60	PM10	2017-05-11 19:27:00	22195
AQM60	PM10	2017-05-11 19:29:00	22786
AQM60	PM10	2017-05-11 19:31:00	31787
AQM60	PM10	2017-05-11 19:33:00	27703
AQM60	PM10	2017-05-11 19:35:00	20997
AQM60	PM10	2017-05-11 19:37:00	27631
AQM60	PM10	2017-05-11 19:39:00	27559
AQM60	PM10	2017-05-11 19:41:00	23448
AQM60	PM10	2017-05-11 19:43:00	20144
AQM60	PM10	2017-05-11 19:45:00	21279
AQM60	PM10	2017-05-11 19:47:00	19114
AQM60	PM10	2017-05-11 19:49:00	21798
AQM60	PM10	2017-05-11 19:51:00	25052
AQM60	PM10	2017-05-11 19:53:00	22942
AQM60	PM10	2017-05-11 19:55:00	30301
AQM60	PM10	2017-05-11 19:57:00	29646
AQM60	PM10	2017-05-11 19:59:00	21798
AQM60	PM10	2017-05-11 20:01:00	22786
AQM60	PM10	2017-05-11 20:03:00	30676
AQM60	PM10	2017-05-11 20:05:00	22589
AQM60	PM10	2017-05-11 20:07:15	25503
AQM60	PM10	2017-05-11 20:09:15	24,75
AQM60	PM10	2017-05-11 20:11:15	24141
AQM60	PM10	2017-05-11 20:13:15	22942
AQM60	PM10	2017-05-11 20:15:15	26,76
AQM60	PM10	2017-05-11 20:17:15	23448
AQM60	PM10	2017-05-11 20:19:15	29,75
AQM60	PM10	2017-05-11 20:21:15	24294
AQM60	PM10	2017-05-11 20:23:15	24,75
AQM60	PM10	2017-05-11 20:25:15	23059
AQM60	PM10	2017-05-11 20:27:15	20308
AQM60	PM10	2017-05-11 20:29:15	29646
AQM60	PM10	2017-05-11 20:31:15	25353
AQM60	PM10	2017-05-11 20:33:15	34064
AQM60	PM10	2017-05-11 20:35:15	30914
AQM60	PM10	2017-05-11 20:37:15	30914
AQM60	PM10	2017-05-11 20:39:15	25052
AQM60	PM10	2017-05-11 20:41:15	21679
AQM60	PM10	2017-05-11 20:43:15	20633
AQM60	PM10	2017-05-11 20:45:15	28097
AQM60	PM10	2017-05-11 20:47:15	36238
AQM60	PM10	2017-05-11 20:49:15	21559
AQM60	PM10	2017-05-11 20:51:15	24,75
AQM60	PM10	2017-05-11 20:53:15	34444
AQM60	PM10	2017-05-11 20:55:15	28877
AQM60	PM10	2017-05-11 20:57:15	29646
AQM60	PM10	2017-05-11 20:59:15	26467
AQM60	PM10	2017-05-11 21:01:15	34254
AQM60	PM10	2017-05-11 21:03:15	28524
AQM60	PM10	2017-05-11 21:06:59	35039
AQM60	PM10	2017-05-11 21:08:59	35442
AQM60	PM10	2017-05-11 21:10:59	30642
AQM60	PM10	2017-05-11 21:12:59	35811
AQM60	PM10	2017-05-11 21:14:59	37907
AQM60	PM10	2017-05-11 21:16:59	44,62
AQM60	PM10	2017-05-11 21:18:59	38343
AQM60	PM10	2017-05-11 21:20:59	41442
